date,t_years,gold_price,silver_price,gold_log_price,silver_log_price,gold_dev,silver_dev,is_break
1970-01-01,0.0,34.539817313105296,1.5562537978060949,3.542112783564571,0.44228152158523304,0.0,0.0,0
1970-01-02,0.003968253968253968,34.775253383049034,1.5396586890303303,3.5489060241395114,0.43156076136208366,0.0,0.0,0
1970-01-05,0.007936507936507936,34.62578140267687,1.5280310449166417,3.544598531839194,0.42398000789175727,0.0,0.0,0
1970-01-06,0.011904761904761904,35.07514948901256,1.5681461085388253,3.557492887961269,0.4498940990531805,0.0,0.0,0
1970-01-07,0.015873015873015872,34.97190273564545,1.5550770532652085,3.5545449601082533,0.44152509634258147,0.0,0.0,0
1970-01-08,0.01984126984126984,34.89582562487964,1.5742616622192884,3.55236721245228,0.45378637647062237,0.0,0.0,0
1970-01-09,0.023809523809523808,34.75804894045297,1.5598629805963165,3.548411169375758,0.4445979844528269,0.0,0.0,0
1970-01-12,0.027777777777777776,34.89212874567579,1.5664562348490265,3.552261266397817,0.44881589284493606,0.0,0.0,0
1970-01-13,0.031746031746031744,34.834651720898414,1.544475219787149,3.550612630467366,0.43468418908278483,0.0,0.0,0
1970-01-14,0.03571428571428571,34.84193263369292,1.5375681638578764,3.550821622136187,0.4302020539323085,0.0,0.0,0
1970-01-15,0.03968253968253968,35.26204264549107,1.575228764518883,3.5628071062472952,0.4544005090438031,0.0,0.0,0
1970-01-16,0.04365079365079365,35.264961413278876,1.5859571581105183,3.5628898764664028,0.46118811030715423,0.0,0.0,0
1970-01-19,0.047619047619047616,35.156706171464,1.595630809142176,3.5598153872984772,0.46726914967579786,0.0,0.0,0
1970-01-20,0.051587301587301584,35.16620717472088,1.605536085830835,3.560085598040968,0.47345771067655124,0.0,0.0,0
1970-01-21,0.05555555555555555,34.72642317413504,1.581278582349432,3.547500871936939,0.4582337491244353,0.0,0.0,0
1970-01-22,0.05952380952380952,34.15616296095729,1.5107477517975783,3.5309430371124795,0.4126047281217883,0.0,0.0,0
1970-01-23,0.06349206349206349,34.063365275508964,1.4904782516274824,3.528222474684572,0.3990970427027868,0.0,0.0,0
1970-01-26,0.06746031746031746,34.13035652630922,1.5294422110418744,3.5301872089909003,0.42490310098680706,0.0,0.0,0
1970-01-27,0.07142857142857142,33.85863908630886,1.501487971580888,3.5221941835259862,0.40645659747402074,0.0,0.0,0
1970-01-28,0.07539682539682539,33.93925908192735,1.5141066378487238,3.5245724293358394,0.41482558704524897,0.0,0.0,0
1970-01-29,0.07936507936507936,33.89042665768986,1.5073575694479797,3.523132575025988,0.41035816386069224,0.0,0.0,0
1970-01-30,0.08333333333333333,34.14039922047615,1.5316427076484962,3.5304814109264,0.42634082456790107,0.0,0.0,0
1970-02-02,0.0873015873015873,33.800272309644214,1.5076104845110532,3.520468858954869,0.4105259368248765,0.0,0.0,0
1970-02-03,0.09126984126984126,33.823165372752875,1.4924824891631732,3.5211459337906903,0.4004408336618054,0.0,0.0,0
1970-02-04,0.09523809523809523,33.92216145882564,1.4854159907474291,3.52406853114664,0.39569486147546196,0.0,0.0,0
1970-02-05,0.0992063492063492,34.264622385923936,1.5102667271392076,3.534113404575017,0.41228627571728016,0.0,0.0,0
1970-02-06,0.10317460317460317,34.30635712026137,1.5034662577301499,3.535330675781914,0.40777328071383223,0.0,0.0,0
1970-02-09,0.10714285714285714,34.2768014880082,1.4706414532773553,3.5344687838923434,0.3856986683858082,0.0,0.0,0
1970-02-10,0.1111111111111111,33.90216631819648,1.452077374779198,3.523478915536319,0.37299520339825276,0.0,0.0,0
1970-02-11,0.11507936507936507,33.19892352554154,1.4198591994546865,3.502517451467304,0.35055771138335523,0.0,0.0,0
1970-02-12,0.11904761904761904,32.63484860578956,1.3949235280411414,3.4853806930627713,0.3328395951622334,0.0,0.0,0
