Date,Stock_Price
1970-01-01,4.804999828338623
1970-01-02,4.881348100089923
1970-01-05,4.855267007369391
1970-01-06,4.814020946994961
1970-01-07,4.773209758759783
1970-01-08,5.026634507959158
1970-01-09,5.152160273065792
1970-01-12,5.06801611240201
1970-01-13,5.1558367846886695
1970-01-14,5.192892539737955
1970-01-15,4.868831978579188
1970-01-16,4.70419275575708
1970-01-19,4.750266982646233
1970-01-20,4.983688637883253
1970-01-21,4.94246722221993
1970-01-22,4.850071968358843
1970-01-23,4.86431343641815
1970-01-26,4.7646212826947485
1970-01-27,4.715304083368515
1970-01-28,4.709914003600619
1970-01-29,4.544173495304771
1970-01-30,4.667131260037565
1970-02-02,4.478646544616386
1970-02-03,4.28283350958273
1970-02-04,4.308764927913628
1970-02-05,4.413484124421694
1970-02-06,4.436180538642124
1970-02-09,4.416642865189786
1970-02-10,4.370227965709736
1970-02-11,4.301539342926468
1970-02-12,4.452978586922119
1970-02-13,4.498558065494802
1970-02-16,4.438719855399495
1970-02-17,4.963359398063699
1970-02-18,5.0562180538825405
1970-02-19,5.203172234641565
1970-02-20,5.162878574742256
1970-02-23,5.052627597356529
1970-02-24,4.801759889424802
1970-02-25,4.976734635806258
1970-02-26,5.171448950520338
1970-02-27,5.015027277169305
1970-03-02,4.841134958173326
1970-03-03,4.825348887620483
1970-03-04,5.067310897867611
1970-03-05,5.120245299860806
1970-03-06,5.048549229780478
1970-03-09,5.0341597151762505
1970-03-10,4.798471675334361
1970-03-11,4.963901288199574
1970-03-12,4.872675635698779
1970-03-13,4.633095727392261
1970-03-16,4.597526667179894
1970-03-17,4.529882180831129
1970-03-18,4.603128350546203
1970-03-19,4.7805562292422765
1970-03-20,4.999803424582917
1970-03-23,5.02495316271947
1970-03-24,4.9782036583947376
1970-03-25,4.913800433297203
1970-03-26,4.495517273694035
1970-03-27,4.544679573619556
1970-03-30,4.610699660473078
1970-03-31,4.582358136965495
1970-04-01,4.4382194101191486
1970-04-02,4.647411538518995
1970-04-03,4.641455310118399
1970-04-06,4.387592847256509
1970-04-07,4.400109739300014
1970-04-08,4.334925905694231
1970-04-09,4.401943787871687
1970-04-10,4.361803805846117
1970-04-13,4.408937226785751
1970-04-14,4.405387224097414
1970-04-15,4.290990186622726
1970-04-16,4.400378769285144
1970-04-17,4.6080574246290436
1970-04-20,4.823026547237992
1970-04-21,4.741113315826051
1970-04-22,4.885283443905695
1970-04-23,5.166231544789406
