Date,Stock_Price
1970-01-01,1.5562537978060949
1970-01-02,1.5396586890303303
1970-01-05,1.5280310449166417
1970-01-06,1.5681461085388253
1970-01-07,1.5550770532652085
1970-01-08,1.5742616622192884
1970-01-09,1.5598629805963165
1970-01-12,1.5664562348490265
1970-01-13,1.544475219787149
1970-01-14,1.5375681638578764
1970-01-15,1.575228764518883
1970-01-16,1.5859571581105183
1970-01-19,1.595630809142176
1970-01-20,1.605536085830835
1970-01-21,1.581278582349432
1970-01-22,1.5107477517975783
1970-01-23,1.4904782516274824
1970-01-26,1.5294422110418744
1970-01-27,1.501487971580888
1970-01-28,1.5141066378487238
1970-01-29,1.5073575694479797
1970-01-30,1.5316427076484962
1970-02-02,1.5076104845110532
1970-02-03,1.4924824891631732
1970-02-04,1.4854159907474291
1970-02-05,1.5102667271392076
1970-02-06,1.5034662577301499
1970-02-09,1.4706414532773553
1970-02-10,1.452077374779198
1970-02-11,1.4198591994546865
1970-02-12,1.3949235280411414
1970-02-13,1.3890826773073977
1970-02-16,1.3702607532915245
1970-02-17,1.4170109314125292
1970-02-18,1.4120101069964504
1970-02-19,1.3949604281622292
1970-02-20,1.4102203339142854
1970-02-23,1.3980457278891678
1970-02-24,1.3674239366072516
1970-02-25,1.3911815432888583
1970-02-26,1.4117155035775426
1970-02-27,1.3929843854378225
1970-03-02,1.3819829811220001
1970-03-03,1.3704627438786547
1970-03-04,1.3320859020495357
1970-03-05,1.355950219647299
1970-03-06,1.3400103114502957
1970-03-09,1.348140768587843
1970-03-10,1.3356189801617582
1970-03-11,1.3115789848309527
1970-03-12,1.3124290807184464
1970-03-13,1.3043683922831155
1970-03-16,1.2924563746616682
1970-03-17,1.2559793538968904
1970-03-18,1.2746371481344119
1970-03-19,1.280021096653747
1970-03-20,1.2654020565438002
1970-03-23,1.2735876694492856
1970-03-24,1.2713628320641037
1970-03-25,1.3030707759744797
1970-03-26,1.303199653094839
1970-03-27,1.2897716195854685
1970-03-30,1.306743553598859
1970-03-31,1.3282273031404754
1970-04-01,1.3577976479575207
1970-04-02,1.3702663068190262
1970-04-03,1.3576309982951666
1970-04-06,1.3802851946954982
1970-04-07,1.4413437002034324
1970-04-08,1.3931025592161919
1970-04-09,1.3956933632391153
1970-04-10,1.4079257023121503
1970-04-13,1.3449741728833433
1970-04-14,1.3510975851399853
1970-04-15,1.3470865879087408
1970-04-16,1.3098440204523294
1970-04-17,1.2939442371248033
1970-04-20,1.269857964321811
1970-04-21,1.2743611901663332
1970-04-22,1.2477242470704224
1970-04-23,1.2185951572444986
1970-04-24,1.2126089703194622
1970-04-27,1.2235886254851196
1970-04-28,1.2430749152537182
1970-04-29,1.2586371422254108
1970-04-30,1.240039303145088
1970-05-01,1.2414317778596695
1970-05-04,1.2412773805406991
1970-05-05,1.2510747203256465
1970-05-06,1.222959916810747
1970-05-07,1.1865303961646438
1970-05-08,1.1250624936440534
1970-05-11,1.1482801701688372
1970-05-12,1.1179815584402482
1970-05-13,1.1389361470681887
1970-05-14,1.1394096020204143
1970-05-15,1.1498513650850524
1970-05-18,1.1621466126127582
1970-05-19,1.1507337045398711
1970-05-20,1.1523779442145738
1970-05-21,1.129649000386739
1970-05-22,1.1145035680344793
1970-05-25,1.1608229779777655
1970-05-26,1.1624098979203057
1970-05-27,1.1381637678970455
1970-05-28,1.141950819484318
1970-05-29,1.131031127806125
1970-06-01,1.1247666305134203
1970-06-02,1.1489117971571292
1970-06-03,1.1673584427488484
1970-06-04,1.153491938048516
1970-06-05,1.141567391675174
1970-06-08,1.1692231712281564
1970-06-09,1.1824697507048767
1970-06-10,1.1834660987833903
1970-06-11,1.180879812208745
1970-06-12,1.2147730910697476
1970-06-15,1.2068131880405684
1970-06-16,1.2157734432637703
1970-06-17,1.2260689022060773
1970-06-18,1.2062727799116855
1970-06-19,1.216292403581154
1970-06-22,1.2067491947681936
1970-06-23,1.204488142265427
1970-06-24,1.173950541943298
1970-06-25,1.1701537226142962
1970-06-26,1.1641184161406397
1970-06-29,1.187074492300313
1970-06-30,1.179207709831979
1970-07-01,1.1674641379895427
1970-07-02,1.20040625077281
1970-07-03,1.1936527033693225
1970-07-06,1.179558560147571
1970-07-07,1.1452106907345088
1970-07-08,1.1565090008269783
1970-07-09,1.1940244882235311
1970-07-10,1.205767698302954
1970-07-13,1.238824338368037
1970-07-14,1.2113388855535798
1970-07-15,1.2310146465980445
1970-07-16,1.23683336296887
1970-07-17,1.2153021434384619
