percentage,model,train_samples,accuracy,f1,precision,recall
10%,Fusion,20738,0.0,0.10148343878343878,0.06333203463203463,0.3121333333333333
20%,Fusion,41477,0.0,0.0858030639393186,0.04544798604756944,0.9055
30%,Fusion,62216,0.0,0.0875716263058392,0.046247452225713095,0.955
40%,Fusion,82955,0.0,0.08301972471972473,0.04897783882783883,0.34063333333333334
50%,Fusion,103694,0.0,0.09649015363721246,0.05555293954411601,0.4340333333333334
60%,Fusion,124433,0.0,0.08823827381768558,0.04925199734905618,0.49743333333333334
70%,Fusion,145172,0.0,0.09317031833339681,0.05009727360274271,0.7737666666666666
80%,Fusion,165911,0.0,0.09387049948904609,0.050358926390137185,0.8143333333333334
90%,Fusion,186650,0.0,0.09050298253415366,0.04811251155733186,0.8993333333333333
100%,Fusion,207389,0.0,0.09535979031228863,0.05171513761697837,0.7094333333333332
